etat,value
Alabama,36.3
Alaska,34.2
Arizona,29.5
Arkansas,35.0
California,25.1
Colorado,22.6
Connecticut,26.9
Delaware,31.8
District of Columbia,23.0
Florida,28.4
Georgia,31.6
Hawaii,23.8
Idaho,29.3
Illinois,31.1
Indiana,33.6
Iowa,36.4
Kansas,32.4
Kentucky,34.3
Louisiana,36.2
Maine,29.1
Maryland,31.3
Massachusetts,25.9
Michigan,32.3
Minnesota,28.4
Mississippi,37.3
Missouri,32.5
Montana,25.3
Nebraska,32.8
Nevada,26.7
New Hampshire,28.1
New Jersey,27.3
New Mexico,28.4
New York,25.7
North Carolina,32.1
North Dakota,33.2
Ohio,33.8
Oklahoma,36.5
Oregon,29.4
Pennsylvania,31.6
Rhode Island,30.0
South Carolina,34.1
South Dakota,31.9
Tennessee,32.8
Texas,33.0
Utah,25.3
Vermont,27.6
Virginia,30.1
Washington,27.7
West Virginia,38.1
Wisconsin,32.0
Wyoming,28.8
Guam,34.3
Puerto Rico,32.9
